2022-05-19 16:44:48.546  INFO [authorizationService,68eb0299432ae6a3,c752a59b3f887dea] 20200 --- [http-nio-9090-exec-1] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-19 16:44:48.549  INFO [authorizationService,68eb0299432ae6a3,c752a59b3f887dea] 20200 --- [http-nio-9090-exec-1] c.c.controller.AuthorizationController   : END - authorization
2022-05-19 16:44:48.570  INFO [authorizationService,68eb0299432ae6a3,a58140c16f38700c] 20200 --- [http-nio-9090-exec-2] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-19 16:44:48.572  INFO [authorizationService,68eb0299432ae6a3,a58140c16f38700c] 20200 --- [http-nio-9090-exec-2] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-19 16:44:48.574  INFO [authorizationService,68eb0299432ae6a3,a58140c16f38700c] 20200 --- [http-nio-9090-exec-2] c.c.controller.AuthorizationController   : STARTED - authorization
2022-05-19 16:44:48.575  INFO [authorizationService,68eb0299432ae6a3,a58140c16f38700c] 20200 --- [http-nio-9090-exec-2] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-19 16:44:48.578  INFO [authorizationService,68eb0299432ae6a3,a58140c16f38700c] 20200 --- [http-nio-9090-exec-2] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-19 16:44:48.581  INFO [authorizationService,68eb0299432ae6a3,a58140c16f38700c] 20200 --- [http-nio-9090-exec-2] c.c.controller.AuthorizationController   : END - authorization
2022-05-19 16:46:30.742  INFO [authorizationService,645400ce2f8f25e1,78dbcfc8a4a0a32d] 20200 --- [http-nio-9090-exec-5] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-19 16:46:30.744  INFO [authorizationService,645400ce2f8f25e1,78dbcfc8a4a0a32d] 20200 --- [http-nio-9090-exec-5] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-19 16:46:30.749  INFO [authorizationService,645400ce2f8f25e1,78dbcfc8a4a0a32d] 20200 --- [http-nio-9090-exec-5] c.c.controller.AuthorizationController   : STARTED - authorization
